Datos de series

Total Nacional. Todas las edades. Total. Población. Número. 
Serie,CP335
Periodicidad,Semestral
Unidad,Personas
DATOS
PERIODO,VALOR,TIPO DATO,NOTA
2022S1,47.432.805,Provisional,
2021S2,47.331.545,Provisional,
2021S1,47.398.695,Definitivo,
2020S2,47.355.685,Definitivo,
2020S1,47.332.614,Definitivo,
2019S2,47.105.358,Definitivo,
2019S1,46.937.060,Definitivo,
2018S2,46.728.814,Definitivo,
2018S1,46.658.447,Definitivo,
2017S2,46.532.869,Definitivo,
2017S1,46.527.039,Definitivo,
2016S2,46.449.874,Definitivo,
2016S1,46.440.099,Definitivo,
2015S2,46.410.149,Definitivo,
2015S1,46.449.565,Definitivo,
2014S2,46.455.123,Definitivo,
2014S1,46.512.199,Definitivo,
2013S2,46.593.236,Definitivo,
2013S1,46.727.890,Definitivo,
2012S2,46.766.403,Definitivo,
2012S1,46.818.216,Definitivo,
2011S2,46.736.257,Definitivo,
2011S1,46.667.175,Definitivo,
2010S2,46.562.483,Definitivo,
2010S1,46.486.621,Definitivo,
2009S2,46.367.550,Definitivo,
2009S1,46.239.271,Definitivo,
2008S2,45.983.169,Definitivo,
2008S1,45.668.938,Definitivo,
2007S2,45.236.004,Definitivo,
2007S1,44.784.659,Definitivo,
2006S2,44.360.521,Definitivo,
2006S1,44.009.969,Definitivo,
2005S2,43.662.613,Definitivo,
2005S1,43.296.335,Definitivo,
2004S2,42.859.172,Definitivo,
2004S1,42.547.454,Definitivo,
2003S2,42.196.231,Definitivo,
2003S1,41.827.836,Definitivo,
2002S2,41.423.520,Definitivo,
2002S1,41.035.271,Definitivo,
2001S2,40.766.049,Definitivo,
2001S1,40.665.545,Definitivo,
2000S2,40.554.387,Definitivo,
2000S1,40.470.182,Definitivo,
1999S2,40.369.667,Definitivo,
1999S1,40.303.568,Definitivo,
1998S2,40.214.066,Definitivo,
1998S1,40.143.449,Definitivo,
1997S2,40.049.974,Definitivo,
1997S1,39.971.329,Definitivo,
1996S2,39.884.246,Definitivo,
1996S1,39.808.374,Definitivo,
1995S2,39.718.895,Definitivo,
1995S1,39.639.726,Definitivo,
1994S2,39.547.353,Definitivo,
1994S1,39.458.489,Definitivo,
1993S2,39.356.082,Definitivo,
1993S1,39.264.034,Definitivo,
1992S2,39.147.940,Definitivo,
1992S1,39.051.336,Definitivo,
1991S2,38.941.622,Definitivo,
1991S1,38.881.416,Definitivo,
1990S2,38.860.827,Definitivo,
1990S1,38.853.227,Definitivo,
1989S2,38.821.377,Definitivo,
1989S1,38.802.300,Definitivo,
1988S2,38.764.307,Definitivo,
1988S1,38.731.578,Definitivo,
1987S2,38.682.322,Definitivo,
1987S1,38.638.052,Definitivo,
1986S2,38.571.941,Definitivo,
1986S1,38.531.195,Definitivo,
1985S2,38.467.025,Definitivo,
1985S1,38.407.829,Definitivo,
1984S2,38.325.244,Definitivo,
1984S1,38.252.899,Definitivo,
1983S2,38.160.263,Definitivo,
1983S1,38.090.151,Definitivo,
1982S2,37.987.108,Definitivo,
1982S1,37.881.873,Definitivo,
1981S2,37.764.458,Definitivo,
1981S1,37.635.389,Definitivo,
1980S2,37.493.072,Definitivo,
1980S1,37.346.940,Definitivo,
1979S2,37.194.315,Definitivo,
1979S1,37.035.719,Definitivo,
1978S2,36.868.100,Definitivo,
1978S1,36.694.077,Definitivo,
1977S2,36.506.811,Definitivo,
1977S1,36.329.199,Definitivo,
1976S2,36.127.525,Definitivo,
1976S1,35.946.425,Definitivo,
1975S2,35.750.033,Definitivo,
1975S1,35.569.375,Definitivo,
1974S2,35.363.890,Definitivo,
1974S1,35.177.294,Definitivo,
1973S2,34.980.317,Definitivo,
1973S1,34.800.600,Definitivo,
1972S2,34.595.886,Definitivo,
1972S1,34.408.338,Definitivo,
1971S2,34.216.856,Definitivo,
1971S1,34.040.642,Definitivo,

Dato: .. Dato no disponible
Dato: . Protegido por secreto estadístico
