"Año";"Periodo";"Personas"
"1950";"Año";"2.477.675"
"1951";"Año";"2.520.970"
"1952";"Año";"2.565.291"
"1953";"Año";"2.615.251"
"1954";"Año";"2.665.307"
"1955";"Año";"2.718.652"
"1956";"Año";"2.773.493"
"1957";"Año";"2.828.513"
"1958";"Año";"2.887.221"
"1959";"Año";"2.944.995"
"1960";"Año";"2.995.589"
"1961";"Año";"3.042.878"
"1962";"Año";"3.093.864"
"1963";"Año";"3.159.510"
"1964";"Año";"3.232.049"
"1965";"Año";"3.302.376"
"1966";"Año";"3.371.848"
"1967";"Año";"3.440.986"
"1968";"Año";"3.509.910"
"1969";"Año";"3.583.711"
"1970";"Año";"3.657.599"
"1971";"Año";"3.733.182"
"1972";"Año";"3.807.145"
"1973";"Año";"3.882.457"
"1974";"Año";"3.958.046"
"1975";"Año";"4.032.988"
"1976";"Año";"4.105.886"
"1977";"Año";"4.179.126"
"1978";"Año";"4.252.419"
"1979";"Año";"4.326.896"
"1980";"Año";"4.404.270"
"1981";"Año";"4.483.746"
"1982";"Año";"4.565.510"
"1983";"Año";"4.650.460"
"1984";"Año";"4.733.308"
"1985";"Año";"4.818.364"
"1986";"Año";"4.905.097"
"1987";"Año";"4.995.029"
"1988";"Año";"5.086.940"
"1989";"Año";"5.177.648"
"1990";"Año";"5.269.760"
"1991";"Año";"5.362.591"
"1992";"Año";"5.449.900"
"1993";"Año";"5.535.472"
"1994";"Año";"5.619.395"
"1995";"Año";"5.702.061"
"1996";"Año";"5.784.378"
"1997";"Año";"5.865.912"
"1998";"Año";"5.947.050"
"1999";"Año";"6.027.575"
"2000";"Año";"6.107.942"
"2001";"Año";"6.189.856"
"2002";"Año";"6.271.638"
"2003";"Año";"6.353.177"
"2004";"Año";"6.434.620"
"2005";"Año";"6.516.883"
"2006";"Año";"6.599.469"
"2007";"Año";"6.683.363"
"2008";"Año";"6.768.534"
"2009";"Año";"6.854.661"
"2010";"Año";"6.941.951"
"2011";"Año";"7.029.255"
"2012";"Año";"7.116.996"
"2013";"Año";"7.206.400"
"2014";"Año";"7.294.787"
"2015";"Año";"7.383.240"
"2016";"Año";"7.469.955"
"2017";"Año";"7.556.993"
"2018";"Año";"7.642.651"
"2019";"Año";"7.724.928"
"2020";"Año";"7.804.974"
"2021";"Año";"7.876.932"
;;
;;
"Métrica":"Personas"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-prevista-poblacion-mundial/62f77353-e957-4cb2-8cbb-bf49d4460cdf"
"Titulo":"Evolución de la población mundial"
"Subtitulo":"En 2021 alcanzó 7.876 millones de personas"
